Time,Humidity,Temperature
270361,65.0,17.2
271386,65.0,17.2
272386,65.0,17.2
273411,65.0,17.2
274411,65.0,17.2
275436,65.0,17.2
276436,65.0,17.2
277461,65.0,17.2
278461,64.0,17.2
279486,64.0,17.2
280486,64.0,17.2
281511,64.0,17.2
282511,64.0,17.2
283536,64.0,17.2
284536,64.0,17.2
285561,64.0,17.2
286561,64.0,17.2
287586,64.0,17.2
288586,64.0,17.2
289611,64.0,17.2
290611,64.0,17.2
291636,64.0,17.2
292636,63.0,17.2
293661,63.0,17.2
294661,63.0,17.2
295686,63.0,17.2
296686,63.0,17.2
297711,63.0,17.2
298711,63.0,17.1
299736,63.0,17.1
300736,63.0,17.1
301761,63.0,17.1
302761,63.0,17.1
303786,63.0,17.1
304786,63.0,17.1
305811,63.0,17.1
306811,63.0,17.1
307836,63.0,17.1
308836,62.0,17.1
309861,62.0,17.1
310861,62.0,17.1
311886,62.0,17.1
312886,62.0,17.1
313911,62.0,17.1
314911,62.0,17.1
315936,62.0,17.1
316936,62.0,17.1
317961,62.0,17.1
318961,62.0,17.1
319986,62.0,17.1
320986,62.0,17.1
322011,62.0,17.1
323011,62.0,17.1
324036,62.0,17.1
325036,62.0,17.1
326061,62.0,17.1
327061,62.0,17.1
328086,62.0,17.1
329086,61.0,17.1
330111,61.0,17.1
331111,61.0,17.1
332136,61.0,17.1
333136,61.0,17.1
334161,61.0,17.1
335161,61.0,17.1
336186,61.0,17.1
337186,61.0,17.1
338211,61.0,17.1
339211,61.0,17.1
340236,61.0,17.1
341236,61.0,17.1
342261,61.0,17.1
343261,61.0,17.1
344286,61.0,17.1
345286,61.0,17.1
346311,61.0,17.1
347311,61.0,17.1
348336,61.0,17.1
349336,61.0,17.1
350361,61.0,17.1
351361,61.0,17.1
352386,61.0,17.1
353386,60.0,17.1
354411,60.0,17.1
355411,60.0,17.1
356436,60.0,17.1
357436,60.0,17.1
358461,60.0,17.1
359461,60.0,17.1
360486,60.0,17.1
361486,60.0,17.1
362511,60.0,17.1
363511,60.0,17.1
364536,60.0,17.1
365536,60.0,17.1
366561,60.0,17.1
