,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
79,Herring,1 small,100,211.0,22,13,0.0,0.0,0.0,Fish Seafood
80,Lobster,aver.,100,92.0,18,1,0.0,0.0,0.0,Fish Seafood
81,Mackerel,3 oz.,85,155.0,18,9,0.0,,0.0,Fish Seafood
82,Oysters,6-8 med.,230,231.0,232,233,234.0,235.0,236.0,Fish Seafood
83,Oyster stew,1 cup,85,125.0,19,6,1.0,0.0,0.0,Fish Seafood
84,Salmon,3 oz.,85,120.0,17,5,1.0,0.0,0.0,Fish Seafood
85,Sardines,3 oz.,85,180.0,22,9,4.0,0.0,0.0,Fish Seafood
86,Scallops,3 1/2 oz.,100,104.0,18,8,0.0,0.0,10.0,Fish Seafood
87,Shad,3 oz.,85,170.0,20,10,0.0,0.0,0.0,Fish Seafood
88,Shrimp,3 oz.,85,110.0,23,1,0.0,0.0,0.0,Fish Seafood
89,Swordfish,1 steak,100,180.0,27,6,0.0,0.0,0.0,Fish Seafood
90,Tuna,3 oz.,85,170.0,25,7,3.0,0.0,0.0,Fish Seafood
91,Artichoke,1 large,100,26.0,2,0,0.0,2.0,10.0,Vegetables
92,Asparagus,6 spears,96,18.0,1,0,0.0,0.5,3.0,Vegetables
93,Beans,1 cup,125,25.0,1,0,0.0,0.8,6.0,Vegetables
94,Lima,1 cup,160,140.0,8,0,0.0,3.0,24.0,Vegetables
95,Lima dry cooked,1 cup,192,260.0,16,0,0.0,2.0,48.0,Vegetables
96,Navy baked with pork,3/4 cup,200,250.0,11,6,6.0,2.0,37.0,Vegetables
97,Red kidney,1 cup,260,230.0,15,1,0.0,2.5,42.0,Vegetables
98,Bean sprouts,1 cup,50,17.0,1,0,0.0,0.3,3.0,Vegetables
99,Beet greens,1 cup,100,27.0,2,0,0.0,1.4,6.0,Vegetables
100,Beetroots,1 cup,165,1.0,12,0,,0.0,0.8,Vegetables
101,Broccoli,1 cup,150,45.0,5,0,0.0,1.9,8.0,Vegetables
102,Brussels sprouts,1 cup,130,60.0,6,0,0.0,1.7,12.0,Vegetables
103,Sauerkraut,1 cup,150,32.0,1,0,0.0,1.2,7.0,Vegetables
104,Steamed cabbage,1 cup,170,40.0,2,0,0.0,1.3,9.0,Vegetables
105,Carrots,1 cup,150,45.0,1,0,0.0,0.9,10.0,Vegetables
106,Raw grated,1 cup,110,45.0,1,0,0.0,1.2,10.0,Vegetables
107,Strips from raw,1 mad.,50,20.0,0,0,0.0,0.5,5.0,Vegetables
108,Cauliflower,1 cup,120,30.0,3,0,0.0,1.0,6.0,Vegetables
109,Celery,1 cup,100,20.0,1,0,0.0,1.0,4.0,Vegetables
110,Stalk raw,1 large,40,5.0,1,0,0.0,0.3,1.0,Vegetables
111,Chard steamed,1 cup,150,30.0,2,0,0.0,1.4,7.0,Vegetables
112,Collards,1 cup,150,51.0,5,0,0.0,2.0,8.0,Vegetables
113,Corn,1 ear,100,92.0,3,1,0.0,0.8,21.0,Vegetables
114,cooked or canned,1 cup,200,170.0,5,0,0.0,1.6,41.0,Vegetables
115,Cucumbers,8,50,6.0,0,0,0.0,0.2,1.0,Vegetables
116,Dandelion greens,1 cup,180,80.0,5,1,0.0,3.2,16.0,Vegetables
117,Eggplant,1 cup,180,30.0,2,0,0.0,1.0,9.0,Vegetables
118,Endive,2 oz.,57,10.0,1,0,0.0,0.6,2.0,Vegetables
119,Kale,1 cup,110,45.0,4,1,0.0,0.9,8.0,Vegetables
120,Kohlrabi,1 cup,140,40.0,2,0,0.0,1.5,9.0,Vegetables
121,Lambs quarters steamed,1 cup,150,48.0,5,0,0.0,3.2,7.0,Vegetables
122,Lentils,1 cup,200,212.0,15,0,0.0,2.4,38.0,Vegetables
123,Lettuce,1/4 head,100,14.0,1,0,0.0,0.5,2.0,Vegetables
124,Iceberg,1/4 head,100,13.0,0,0,0.0,0.5,3.0,Vegetables
125,Mushrooms canned,4,120,12.0,2,0,0.0,0.0,4.0,Vegetables
126,Mustard greens,1,140,30.0,3,0,0.0,1.2,6.0,Vegetables
127,Okra,1 1/3 cups,100,32.0,1,0,0.0,1.0,7.0,Vegetables
128,Onions,1,210,80.0,2,0,0.0,1.6,18.0,Vegetables
129,Raw green,6 small,50,22.0,0,0,0.0,1.0,5.0,Vegetables
130,Parsley,2 T.,50,2.0,0,0,0.0,0.0,0.0,Vegetables
131,Parsnips,1 cup,155,95.0,2,1,0.0,3.0,22.0,Vegetables
132,Peas,1 cup,100,66.0,3,0,0.0,0.1,13.0,Vegetables
133,Fresh steamed peas,1 cup,100,70.0,5,0,0.0,2.2,12.0,Vegetables
134,Frozen peas,1 cup,100,,5,0,0.0,1.8,12.0,Vegetables
135,Split cooked peas,4 cups,100,115.0,8,0,0.0,0.4,21.0,Vegetables
136,heated peas,1 cup,100,53.0,3,0,0.0,1.0,10.0,Vegetables
137,Peppers canned,1 pod,38,10.0,0,0,0.0,0.0,2.0,Vegetables
138,Peppers Raw green sweet,1 large,100,25.0,1,0,0.0,1.4,6.0,Vegetables
139,Peppers with beef and crumbs,1 med.,150,255.0,19,9,8.0,1.0,24.0,Vegetables
140,Potatoes baked,1 med.,100,100.0,2,0,0.0,0.5,22.0,Vegetables
141,French-fried,10 pieces,60,155.0,-1,7,3.0,0.4,20.0,Vegetables
142,Potatoes Mashed with milk and butter,1 cup,200,230.0,4,12,11.0,0.7,28.0,Vegetables
143,Potatoes pan-tried,3/4 cup,100,268.0,4,14,6.0,0.4,33.0,Vegetables
144,Scalloped with cheese potatoes,3/4 cup,100,145.0,6,8,7.0,0.4,14.0,Vegetables
145,Steamed potatoes before peeling,1 med.,100,80.0,2,0,0.0,0.4,19.0,Vegetables
146,Potato chips,10,20,110.0,1,7,4.0,0.0,10.0,Vegetables
147,Radishes,5 small,50,10.0,0,0,0.0,0.3,2.0,Vegetables
148,Rutabagas,4 cups,100,32.0,0,0,0.0,1.4,8.0,Vegetables
149,Soybeans,1 cup,200,260.0,22,11,0.0,3.2,20.0,Vegetables
150,Spinach,1 cup,100,26.0,3,0,0.0,1.0,3.0,Vegetables
151,Squash,1 cup,210,35.0,1,0,0.0,0.6,8.0,Vegetables
152,Winter mashed,1 cup,200,95.0,4,0,0.0,2.6,23.0,Vegetables
153,Sweet potatoes,1 med.,110,155.0,2,1,0.0,1.0,36.0,Vegetables
154,Candied,1 med.,175,235.0,2,6,5.0,1.5,80.0,Vegetables
155,Tomatoes,1 cup,240,50.0,2,0,0.0,1.0,9.0,Vegetables
156,Raw 2 by 2 1/2,1 med.,150,30.0,1,0,0.0,0.6,6.0,Vegetables
157,Tomato juice,1 cup,240,50.0,2,0,0.0,0.6,10.0,Vegetables
158,Tomato catsup,1 T.,17,15.0,0,0,0.0,0.0,4.0,Vegetables
159,Turnip greens,1 cup,145,45.0,4,1,0.0,1.8,8.0,Vegetables
160,Turnips steamed,1 cup,155,40.0,1,0,0.0,1.8,9.0,Vegetables
161,Watercress stems raw,1 cup,50,9.0,1,0,0.0,0.3,1.0,Fruits
162,Apple juice canned,1 cup,250,125.0,0,0,0.0,0.0,34.0,Fruits
163,Apple vinegar,1/3 cup,100,14.0,0,0,0.0,0.0,3.0,Fruits
164,Apples raw,1 med,130,70.0,0,0,0.0,1.0,18.0,Fruits
165,Stewed or canned,1 cup,240,100.0,0,0,0.0,2.0,26.0,Fruits
